iter	Passed	Remaining
0	1	181
1	3	168
2	6	215
3	8	199
4	9	184
5	12	191
6	14	195
7	16	189
8	18	184
9	20	184
10	22	178
11	23	174
12	26	177
13	28	174
14	30	171
15	34	181
16	36	176
17	37	170
18	39	166
19	42	168
20	43	162
21	44	158
22	46	155
23	49	155
24	50	152
25	52	149
26	53	145
27	56	145
28	58	142
29	59	139
30	61	136
31	63	135
32	65	132
33	66	129
34	67	125
35	69	122
36	73	124
37	75	123
38	77	120
39	79	119
40	81	117
41	82	113
42	83	110
43	86	110
44	88	107
45	90	105
46	91	103
47	94	101
48	96	100
49	97	97
50	99	95
51	101	94
52	103	91
53	104	89
54	105	86
55	107	84
56	109	82
57	111	80
58	112	78
59	114	76
60	118	75
61	121	74
62	124	72
63	126	71
64	127	68
65	129	66
66	131	64
67	133	62
68	134	60
69	136	58
70	138	56
71	141	54
72	143	52
73	144	50
74	147	49
75	148	47
76	150	44
77	151	42
78	152	40
79	156	39
80	157	37
81	159	34
82	161	33
83	164	31
84	165	29
85	167	27
86	169	25
87	171	23
88	173	21
89	175	19
90	177	17
91	179	15
92	181	13
93	183	11
94	185	9
95	186	7
96	188	5
97	189	3
98	192	1
99	194	0
